SKU,Order,Delivery Date,Description
15668519,6543110,2014-09-08,DAILY BREAD_Bread  Sandwich
15668519,6458253,2014-09-21,DAILY BREAD_Bread  Sandwich
15668519,7947618,2014-05-24,DAILY BREAD_Bread  Sandwich
15668519,6747383,2014-07-17,DAILY BREAD_Bread  Sandwich
15668519,8093161,2014-04-08,DAILY BREAD_Bread  Sandwich
15668519,6532259,2014-09-07,DAILY BREAD_Bread  Sandwich
15668519,6556263,2014-08-25,DAILY BREAD_Bread  Sandwich
15668519,7884093,2014-06-15,DAILY BREAD_Bread  Sandwich
15668519,7873887,2014-06-11,DAILY BREAD_Bread  Sandwich
15668519,8060618,2014-04-22,DAILY BREAD_Bread  Sandwich
15668519,6785258,2014-06-20,DAILY BREAD_Bread  Sandwich
15668519,6592544,2014-08-17,DAILY BREAD_Bread  Sandwich
15668519,6659316,2014-07-30,DAILY BREAD_Bread  Sandwich
15668519,6713174,2014-07-27,DAILY BREAD_Bread  Sandwich
15668519,7919197,2014-06-04,DAILY BREAD_Bread  Sandwich
15668519,6461859,2014-09-22,DAILY BREAD_Bread  Sandwich
15668519,6520632,2014-09-20,DAILY BREAD_Bread  Sandwich
15668519,6725267,2014-07-11,DAILY BREAD_Bread  Sandwich
15668519,7987546,2014-05-14,DAILY BREAD_Bread  Sandwich
15668519,7947718,2014-05-25,DAILY BREAD_Bread  Sandwich
15668519,6429183,2014-10-01,DAILY BREAD_Bread  Sandwich
15668519,8014350,2014-04-30,DAILY BREAD_Bread  Sandwich
15668519,7982859,2014-05-13,DAILY BREAD_Bread  Sandwich
15668519,6802065,2014-06-25,DAILY BREAD_Bread  Sandwich
15668519,6751713,2014-07-01,DAILY BREAD_Bread  Sandwich
15668519,8018063,2014-05-02,DAILY BREAD_Bread  Sandwich
15668519,6496807,2014-09-13,DAILY BREAD_Bread  Sandwich
15668519,6729240,2014-07-12,DAILY BREAD_Bread  Sandwich
15668519,6510582,2014-09-17,DAILY BREAD_Bread  Sandwich
15668519,6757889,2014-07-02,DAILY BREAD_Bread  Sandwich
15668519,8045328,2014-04-15,DAILY BREAD_Bread  Sandwich
15668519,6798572,2014-06-24,DAILY BREAD_Bread  Sandwich
15668519,6534442,2014-09-07,DAILY BREAD_Bread  Sandwich
15668519,6689615,2014-07-19,DAILY BREAD_Bread  Sandwich
15668519,6696221,2014-07-22,DAILY BREAD_Bread  Sandwich
15668519,7918291,2014-06-05,DAILY BREAD_Bread  Sandwich
15668519,6805788,2014-06-26,DAILY BREAD_Bread  Sandwich
15668519,6458343,2014-09-21,DAILY BREAD_Bread  Sandwich
15668519,7944128,2014-05-22,DAILY BREAD_Bread  Sandwich
15668519,6502099,2014-09-14,DAILY BREAD_Bread  Sandwich
15668519,6502850,2014-09-15,DAILY BREAD_Bread  Sandwich
15668519,7915141,2014-06-03,DAILY BREAD_Bread  Sandwich
15668519,8053553,2014-04-19,DAILY BREAD_Bread  Sandwich
15668519,6785178,2014-06-20,DAILY BREAD_Bread  Sandwich
15668519,7925411,2014-06-07,DAILY BREAD_Bread  Sandwich
15668519,6472955,2014-09-25,DAILY BREAD_Bread  Sandwich
15668519,6542532,2014-09-08,DAILY BREAD_Bread  Sandwich
15668519,7912928,2014-06-04,DAILY BREAD_Bread  Sandwich
15668519,7935116,2014-05-19,DAILY BREAD_Bread  Sandwich
15668519,6710436,2014-07-27,DAILY BREAD_Bread  Sandwich
15668519,8019113,2014-05-03,DAILY BREAD_Bread  Sandwich
15668519,6763323,2014-07-03,DAILY BREAD_Bread  Sandwich
15668519,6515647,2014-09-18,DAILY BREAD_Bread  Sandwich
15668519,8001232,2014-04-25,DAILY BREAD_Bread  Sandwich
15668519,6703023,2014-07-23,DAILY BREAD_Bread  Sandwich
15668519,8003345,2014-05-02,DAILY BREAD_Bread  Sandwich
15668519,8087184,2014-04-05,DAILY BREAD_Bread  Sandwich
15668519,6733327,2014-07-13,DAILY BREAD_Bread  Sandwich
15668519,7915010,2014-06-04,DAILY BREAD_Bread  Sandwich
15668519,7911996,2014-06-02,DAILY BREAD_Bread  Sandwich
15668519,6522627,2014-09-03,DAILY BREAD_Bread  Sandwich
15668519,6738122,2014-07-15,DAILY BREAD_Bread  Sandwich
15668519,6772420,2014-07-05,DAILY BREAD_Bread  Sandwich
15668519,6752435,2014-07-01,DAILY BREAD_Bread  Sandwich
15668519,6790059,2014-06-21,DAILY BREAD_Bread  Sandwich
